date,V13 Dec13,V13 Dec14 - close,V14 Dec14 - close
12/12/12,13.45,0,0
12/13/12,13.6,0,0
12/14/12,14.05,0,0
12/17/12,14.4,0,0
12/18/12,14.6,0,0
12/19/12,15,0,0
12/20/12,14.9,0,0
12/21/12,14.8,0,0
12/24/12,14.8,0,0
12/26/12,14.8,0,0
12/27/12,14.75,0,0
12/28/12,14.1,0,0
12/31/12,14.75,0,0
1/2/13,16.2,0,0
1/3/13,15.85,0,0
1/4/13,15.95,0,0
1/7/13,16.25,0,0
1/8/13,16.4,0,0
1/9/13,15.6,0,0
1/10/13,14.95,0,0
1/11/13,14.4,0,0
1/14/13,14.1,0,0
1/15/13,14,0,0
1/16/13,14.25,0,0
1/17/13,14.35,0,0
1/18/13,14.15,0,0
1/21/13,14.15,0,0
1/22/13,13.95,0,0
1/23/13,14.05,0,0
1/24/13,14.05,0,0
1/25/13,14.6,0,0
1/28/13,14.25,0,0
1/29/13,14.2,0,0
1/30/13,14.15,0,0
1/31/13,14.4,0,0
2/1/13,14.5,0,0
2/4/13,14.75,0,0
2/5/13,14.45,0,0
2/6/13,14.15,0,0
2/7/13,14.2,0,0
2/8/13,14.3,0,0
2/11/13,14.4,0,0
2/12/13,14.25,0,0
2/13/13,14.1,0,0
2/14/13,14,0,0
2/15/13,14,0,0
2/18/13,14,0,0
2/19/13,13.45,0,0
2/20/13,13.6,0,0
2/21/13,14.1,0,0
2/22/13,14.9,0,0
2/25/13,15.15,0,0
2/26/13,14.85,0,0
2/27/13,14.65,0,0
2/28/13,14.8,0,0
3/1/13,15,0,0
3/4/13,15,0,0
3/5/13,14.85,0,0
3/6/13,14.6,0,0
3/7/13,14.5,0,0
3/8/13,14.55,0,0
3/11/13,14.55,0,0
3/12/13,14.25,0,0
3/13/13,14.2,0,0
3/14/13,14.15,0,0
3/15/13,14.35,0,0
3/18/13,14.3,0,0
3/19/13,14.4,0,0
3/20/13,14.45,0,0
3/21/13,14.55,0,0
3/22/13,14.2,0,0
3/25/13,14.25,0,0
3/26/13,14.2,0,0
3/27/13,14.2,0,0
3/28/13,14.25,0,0
4/1/13,14.2,0,0
4/2/13,14.15,0,0
4/3/13,14.15,0,0
4/4/13,14.2,0,0
4/5/13,14.2,0,0
4/8/13,14.2,0,0
4/9/13,14.35,0,0
4/10/13,14.4,0,0
4/11/13,14.6,0,0
4/12/13,14.9,0,0
4/15/13,15.05,0,0
4/16/13,14.9,0,0
4/17/13,14.65,0,0
4/18/13,14.55,0,0
4/19/13,14.75,0,0
4/22/13,14.85,0,0
4/23/13,14.8,0,0
4/24/13,14.9,0,0
4/25/13,14.55,0,0
4/26/13,14.65,0,0
4/29/13,14.7,0,0
4/30/13,14.6,0,0
5/1/13,14.4,0,0
5/2/13,14.4,0,0
5/3/13,14.4,0,0
5/6/13,14.55,0,0
5/7/13,14.7,0,0
5/8/13,14.5,0,0
5/9/13,14.4,0,0
5/10/13,14.47,0,0
5/13/13,14.5,0,0
5/14/13,14.6,0,0
5/15/13,14.6,0,0
5/16/13,14.8,0,0
5/17/13,15.05,0,0
5/20/13,14.85,0,0
5/21/13,14.5,0,0
5/22/13,14.4,0,0
5/23/13,14.5,0,0
5/24/13,14.55,0,0
5/27/13,14.55,0,0
5/28/13,14.64,0,0
5/29/13,14.6,0,0
5/30/13,14.45,0,0
5/31/13,14.6,0,0
6/3/13,14.6,0,0
6/4/13,14.6,0,0
6/5/13,14.5,0,0
6/6/13,14.5,0,0
6/7/13,14.7,0,0
6/10/13,14.6,0,0
6/11/13,14.55,0,0
6/12/13,14.62,0,0
6/13/13,14.62,0,0
6/14/13,14.6,0,0
6/17/13,14.7,0,0
6/18/13,14.6,0,0
6/19/13,14.6,0,0
6/20/13,14.65,0,0
6/21/13,14.6,0,0
6/24/13,14.5,0,0
6/25/13,14.5,0,0
6/26/13,14.6,0,0
6/27/13,14.5,0,0
6/28/13,14.6,0,0
7/1/13,14.6,0,0
7/2/13,14.5,0,0
7/3/13,14.5,0,0
7/4/13,14.5,0,0
7/5/13,14.5,0,0
7/8/13,14.46,0,0
7/9/13,14.35,0,0
7/10/13,14.35,0,0
7/11/13,14.3,0,0
7/12/13,14.25,0,0
7/15/13,14.3,0,0
7/16/13,14.35,0,0
7/17/13,14.25,0,0
7/18/13,14.25,0,0
7/19/13,14,0,0
7/22/13,13.75,0,0
7/23/13,13.65,0,0
7/24/13,13.52,0,0
7/25/13,13.8,0,0
7/26/13,13.9,0,0
7/29/13,13.7,0,0
7/30/13,13.7,0,0
7/31/13,13.75,0,0
8/1/13,13.8,0,0
8/2/13,13.75,0,0
8/5/13,13.7,0,0
8/6/13,13.8,0,0
8/7/13,13.82,0,0
8/8/13,13.7,0,0
8/9/13,13.7,0,0
8/12/13,13.72,0,0
8/13/13,13.6,0,0
8/14/13,13.45,0,0
8/15/13,13.5,0,0
8/16/13,13.45,0,0
8/19/13,13.45,0,0
8/20/13,13.35,0,0
8/21/13,12.45,0,0
8/22/13,12.35,0,0
8/23/13,12.4,0,0
8/26/13,12.15,0,0
8/27/13,12.3,0,0
8/28/13,12.37,0,0
8/29/13,12.7,0,0
8/30/13,12.95,0,0
9/2/13,12.95,0,0
9/3/13,12.95,0,0
9/4/13,12.95,0,0
9/5/13,12.75,0,0
9/6/13,12.75,0,0
9/9/13,12.75,0,0
9/10/13,12.4,0,0
9/11/13,12.35,0,0
9/12/13,12.3,0,0
9/13/13,12.2,0,0
9/16/13,12.2,0,0
9/17/13,12.1,0,0
9/18/13,12.15,0,0
9/19/13,12.07,0,0
9/20/13,11.92,0,0
9/23/13,11.75,0,0
9/24/13,11.82,0,0
9/25/13,11.95,0,0
9/26/13,12.07,0,0
9/27/13,12.1,0,0
9/30/13,12.18,0,0
10/1/13,12.1,0,0
10/2/13,12.15,0,0
10/3/13,12.08,0,0
10/4/13,12.06,0,0
10/7/13,12.05,0,0
10/8/13,12.08,0,0
10/9/13,12,0,0
10/10/13,11.9,0,0
10/11/13,12,0,0
10/14/13,12.15,0,0
10/15/13,12.15,0,0
10/16/13,12.05,0,0
10/17/13,12.07,0,0
10/18/13,12.04,0,0
10/21/13,12.01,0,0
10/22/13,12,0,0
10/23/13,11.95,0,0
10/24/13,11.88,0,0
10/25/13,11.91,0,0
10/28/13,12.01,0,0
10/29/13,12,0,0
10/30/13,12,0,0
10/31/13,12.1,0,0
11/1/13,12.12,0,0
11/4/13,12.1,0,0
11/5/13,12,0,0
11/6/13,12,0,0
11/7/13,11.97,0,0
11/8/13,11.95,0,0
11/11/13,11.87,0,0
11/12/13,11.9,0,0
11/13/13,11.9,0,0
11/14/13,11.85,0,0
11/15/13,11.8,0,0
11/18/13,11.7,0,0
11/19/13,11.75,0,0
11/20/13,11.8,0,0
11/21/13,11.86,0,0
11/22/13,11.75,0,0
11/25/13,11.85,0,0
11/26/13,11.83,0,0
11/27/13,11.83,0,0
11/28/13,11.83,0,0
11/29/13,11.83,0,0
12/2/13,11.7,0,0
12/3/13,11.7,0,0
12/4/13,11.7,0,0
12/5/13,11.65,0,0
12/6/13,11.65,0,0
12/9/13,11.6,0,0
12/10/13,11.6,0,0
12/11/13,11.6,0,0
12/12/13,11.63,0,0
12/13/13,11.65,0,0
12/16/13,11.7,0,0
12/17/13,11.79,0,0
12/18/13,11.75,0,0
12/19/13,11.72,0,0
12/20/13,11.65,0,0
12/23/13,11.7,0,0
12/31/13,,12.07,12.05
1/2/14,,12.07,12.05
1/3/14,,12.07,12.05
1/6/14,,12.1,12.08
1/7/14,,12.05,12.03
1/8/14,,12.05,12.03
1/9/14,,12.05,12
1/10/14,,12,11.95
1/13/14,,12,11.95
1/14/14,,12.03,11.98
1/15/14,,12.1,12.1
1/16/14,,12.2,12.2
1/17/14,,12.2,12.18
1/20/14,,12.2,12.18
1/21/14,,12.35,12.33
1/22/14,,12.44,12.42
1/23/14,,12.6,12.55
1/24/14,,12.53,12.54
