,date,V13 Dec13 - price,V14 Dec14 - price,V14 Dec14 - volume,V15 Dec15 - price,V15 Dec15 - volume,V16 Dec16 - price,V16 Dec16 - volume,V17 Dec17 - price,V17 Dec17 - volume, , 
408,3/28/13,14.22,,,,,,,,,,
409,4/1/13,14.22,,,,,,,,,,
410,4/2/13,14.2,,,,,,,,,,
411,4/3/13,14.19,,,,,,,,,,
412,4/4/13,14.19,,,,,,,,,,
413,4/5/13,14.18,,,,,,,,,,
414,4/8/13,14.18,,,,,,,,,,
415,4/9/13,14.22,,,,,,,,,,
416,4/10/13,14.27,,,,,,,,,,
417,4/11/13,14.35,,,,,,,,,,
418,4/12/13,14.49,,,,,,,,,,
419,4/15/13,14.66,,,,,,,,,,
420,4/16/13,14.77,,,,,,,,,,
421,4/17/13,14.82,,,,,,,,,,
422,4/18/13,14.81,,,,,,,,,,
423,4/19/13,14.78,,,,,,,,,,
424,4/22/13,14.74,,,,,,,,,,
425,4/23/13,14.72,,,,,,,,,,
426,4/24/13,14.77,,,,,,,,,,
427,4/25/13,14.77,,,,,,,,,,
428,4/26/13,14.75,,,,,,,,,,
429,4/29/13,14.72,,,,,,,,,,
430,4/30/13,14.68,,,,,,,,,,
431,5/1/13,14.58,,,,,,,,,,
432,5/2/13,14.55,,,,,,,,,,
433,5/3/13,14.5,,,,,,,,,,
434,5/6/13,14.47,,,,,,,,,,
435,5/7/13,14.49,,,,,,,,,,
436,5/8/13,14.51,,,,,,,,,,
437,5/9/13,14.51,,,,,,,,,,
438,5/10/13,14.524,,,,,,,,,,
439,5/13/13,14.514,,,,,,,,,,
440,5/14/13,14.494,,,,,,,,,,
441,5/15/13,14.514,,,,,,,,,,
442,5/16/13,14.594,,,,,,,,,,
443,5/17/13,14.71,,,,,,,,,,
444,5/20/13,14.78,,,,,,,,,,
445,5/21/13,14.76,,,,,,,,,,
446,5/22/13,14.72,,,,,,,,,,
447,5/23/13,14.66,,,,,,,,,,
448,5/24/13,14.56,,,,,,,,,,
449,5/27/13,14.5,,,,,,,,,,
450,5/28/13,14.528,,,,,,,,,,
451,5/29/13,14.568,,,,,,,,,,
452,5/30/13,14.558,,,,,,,,,,
453,5/31/13,14.568,,,,,,,,,,
454,6/3/13,14.578,,,,,,,,,,
455,6/4/13,14.57,,,,,,,,,,
456,6/5/13,14.55,,,,,,,,,,
457,6/6/13,14.56,,,,,,,,,,
458,6/7/13,14.58,,,,,,,,,,
459,6/10/13,14.58,,,,,,,,,,
460,6/11/13,14.57,,,,,,,,,,
461,6/12/13,14.594,,,,,,,,,,
462,6/13/13,14.618,,,,,,,,,,
463,6/14/13,14.598,,,,,,,,,,
464,6/17/13,14.618,,,,,,,,,,
465,6/18/13,14.628,,,,,,,,,,
466,6/19/13,14.624,,,,,,,,,,
467,6/20/13,14.63,,,,,,,,,,
468,6/21/13,14.63,,,,,,,,,,
469,6/24/13,14.59,,,,,,,,,,
470,6/25/13,14.57,,,,,,,,,,
471,6/26/13,14.57,,,,,,,,,,
472,6/27/13,14.54,,,,,,,,,,
473,6/28/13,14.54,,,,,,,,,,
474,7/1/13,14.56,,,,,,,,,,
475,7/2/13,14.56,,,,,,,,,,
476,7/3/13,14.54,,,,,,,,,,
477,7/4/13,14.54,,,,,,,,,,
478,7/5/13,14.52,,,,,,,,,,
479,7/8/13,14.492,,,,,,,,,,
480,7/9/13,14.462,,,,,,,,,,
481,7/10/13,14.432,,,,,,,,,,
482,7/11/13,14.392,,,,,,,,,,
483,7/12/13,14.342,,,,,,,,,,
484,7/15/13,14.31,,,,,,,,,,
485,7/16/13,14.31,,,,,,,,,,
486,7/17/13,14.29,,,,,,,,,,
487,7/18/13,14.28,,,,,,,,,,
488,7/19/13,14.23,,,,,,,,,,
489,7/22/13,14.12,,,,,,,,,,
490,7/23/13,13.98,,,,,,,,,,
491,7/24/13,13.834,,,,,,,,,,
492,7/25/13,13.744,,,,,,,,,,
493,7/26/13,13.724,,,,,,,,,,
494,7/29/13,13.714,,,,,,,,,,
495,7/30/13,13.724,,,,,,,,,,
496,7/31/13,13.77,,,,,,,,,,
497,8/1/13,13.77,,,,,,,,,,
498,8/2/13,13.74,,,,,,,,,,
499,8/5/13,13.74,,,,,,,,,,
500,8/6/13,13.76,,,,,,,,,,
501,8/7/13,13.774,,,,,,,,,,
502,8/8/13,13.754,,,,,,,,,,
503,8/9/13,13.744,,,,,,,,,,
504,8/12/13,13.748,,,,,,,,,,
505,8/13/13,13.708,,,,,,,,,,
506,8/14/13,13.634,,,,,,,,,,
507,8/15/13,13.594,,,,,,,,,,
508,8/16/13,13.544,,,,,,,,,,
509,8/19/13,13.49,,,,,,,,,,
510,8/20/13,13.44,,,,,,,,,,
511,8/21/13,13.24,,,,,,,,,,
512,8/22/13,13.01,,,,,,,,,,
513,8/23/13,12.8,,,,,,,,,,
514,8/26/13,12.54,,,,,,,,,,
515,8/27/13,12.33,,,,,,,,,,
516,8/28/13,12.314,,,,,,,,,,
517,8/29/13,12.384,,,,,,,,,,
518,8/30/13,12.494,,,,,,,,,,
519,9/2/13,12.654,,,,,,,,,,
520,9/3/13,12.784,,,,,,,,,,
521,9/4/13,12.9,,,,,,,,,,
522,9/5/13,12.91,,,,,,,,,,
523,9/6/13,12.87,,,,,,,,,,
524,9/9/13,12.83,,,,,,,,,,
525,9/10/13,12.72,,,,,,,,,,
526,9/11/13,12.6,,,,,,,,,,
527,9/12/13,12.51,,,,,,,,,,
528,9/13/13,12.4,,,,,,,,,,
529,9/16/13,12.29,,,,,,,,,,
530,9/17/13,12.23,,,,,,,,,,
531,9/18/13,12.19,,,,,,,,,,
532,9/19/13,12.144,,,,,,,,,,
533,9/20/13,12.088,,,,,,,,,,
534,9/23/13,11.998,,,,,,,,,,
535,9/24/13,11.942,,,,,,,,,,
536,9/25/13,11.902,,,,,,,,,,
537,9/26/13,11.902,,,,,,,,,,
538,9/27/13,11.938,,,,,,,,,,
539,9/30/13,12.024,,,,,,,,,,
540,10/1/13,12.08,,,,,,,,,,
541,10/2/13,12.12,,,,,,,,,,
542,10/3/13,12.122,,,,,,,,,,
543,10/4/13,12.114,,,,,,,,,,
544,10/7/13,12.088,,,,,,,,,,
545,10/8/13,12.084,,,,,,,,,,
546,10/9/13,12.054,,,,,,,,,,
547,10/10/13,12.018,,,,,,,,,,
548,10/11/13,12.006,,,,,,,,,,
549,10/14/13,12.026,,,,,,,,,,
550,10/15/13,12.04,,,,,,,,,,
551,10/16/13,12.05,,,,,,,,,,
552,10/17/13,12.084,,,,,,,,,,
553,10/18/13,12.092,,,,,,,,,,
554,10/21/13,12.064,,,,,,,,,,
555,10/22/13,12.034,,,,,,,,,,
556,10/23/13,12.014,,,,,,,,,,
557,10/24/13,11.976,,,,,,,,,,
558,10/25/13,11.95,,,,,,,,,,
559,10/28/13,11.95,,,,,,,,,,
560,10/29/13,11.95,,,,,,,,,,
561,10/30/13,11.96,,,,,,,,,,
562,10/31/13,12.004,,,,,,,,,,
563,11/1/13,12.046,,,,,,,,,,
564,11/4/13,12.064,,,,,,,,,,
565,11/5/13,12.064,,,,,,,,,,
566,11/6/13,12.064,,,,,,,,,,
567,11/7/13,12.038,,,,,,,,,,
568,11/8/13,12.004,,,,,,,,,,
569,11/11/13,11.958,,,,,,,,,,
570,11/12/13,11.938,,,,,,,,,,
571,11/13/13,11.918,,,,,,,,,,
572,11/14/13,11.894,,,,,,,,,,
573,11/15/13,11.864,,,,,,,,,,
574,11/18/13,11.83,,,,,,,,,,
575,11/19/13,11.8,,,,,,,,,,
576,11/20/13,11.78,,,,,,,,,,
577,11/21/13,11.782,,,,,,,,,,
578,11/22/13,11.772,,,,,,,,,,
579,11/25/13,11.802,,,,,,,,,,
580,11/26/13,11.818,,,,,,,,,,
581,11/27/13,11.824,,,,,,,,,,
582,11/28/13,11.818,,,,,,,,,,
583,11/29/13,11.834,,,,,,,,,,
584,12/2/13,11.804,,,,,,,,,,
585,12/3/13,11.778,,,,,,,,,,
586,12/4/13,11.752,,,,,,,,,,
587,12/5/13,11.716,,,,,,,,,,
588,12/6/13,11.68,,,,,,,,,,
589,12/9/13,11.66,,,,,,,,,,
590,12/10/13,11.64,,,,,,,,,,
591,12/11/13,11.62,,,,,,,,,,
592,12/12/13,11.616,,,,,,,,,,
593,12/13/13,11.616,,,,,,,,,,
594,12/16/13,11.636,,,,,,,,,,
595,12/17/13,11.674,,,,,,,,,,
596,12/18/13,11.704,,,,,,,,,,
597,12/19/13,11.722,,,,,,,,,,
598,12/20/13,11.722,,,,,,,,,,
599,12/23/13,11.722,,,,,,,,,,
600,12/31/13,,,,,,,,,,,
601,1/2/14,,,,,,,,,,,
602,1/3/14,,,,,,,,,,,
603,1/6/14,,,,,,,,,,,
604,1/7/14,,12.052,4,,,,,,,,
605,1/8/14,,12.048,4,,,,,,,,
606,1/9/14,,12.038,405.4,,,,,,,,
607,1/10/14,,12.018,405.4,,,,,,,,
608,1/13/14,,11.992,405.4,,,,,,,,
609,1/14/14,,11.982,425.4,,,,,,,,
610,1/15/14,,11.996,523.4,,,,,,,,
611,1/16/14,,12.036,122,,,,,,,,
